algorithm,task,cutmix,cutout,no_aug,overlay,cropping,window,rotation,flip_v,flip_h,convolution,mix
svea,walker_walk,386.41,345.87,,324.43,330.94,376.5,311.87,382.45,371.3,,
svea,pendulum_swingup,0.81,1.56,1.82,4.61,2.39,2.32,8.88,4.56,1.46,3.6,5.39
svea,humanoid_walk,1.82,1.89,1.9,,,,1.96,1.95,1.71,1.43,1.48
svea,cheetah_run,80.26,59.93,79.15,,59.03,75.3,86.15,76.93,78.78,98.7,75.22
svea,Door,,,,,,,,,,,
svea,Lift,,,,,,,,,,,
svea,TwoArmLift,,,,,,,,,,,
pieg,walker_walk,,,,,,,,,,,
pieg,pendulum_swingup,5.82,3.06,1.02,3.84,4.05,4.06,5.75,6.4,2.43,3.69,1.58
pieg,humanoid_walk,1.63,1.7,2.02,1.63,1.84,1.74,1.77,1.85,1.98,1.65,1.85
pieg,cheetah_run,83.24,97.52,75.5,64.57,101.39,104.39,105.03,99.87,116.21,119.45,136.83
pieg,Door,411.13,337.09,388.08,432.42,,,,,,,
pieg,Lift,,,,,,,,,,,
pieg,TwoArmLift,,,,,,,,,,,
