algorithm,task,cutmix,cutout,no_aug,overlay,cropping,window,rotation,flip_v,flip_h,convolution,mix
svea,walker_walk,726.64,489.38,,933.66,292.3,398.39,260.69,438.81,303.98,,
svea,pendulum_swingup,455.94,304.54,286.77,502.56,186.3,285.08,69.27,138.27,187.97,235.83,177.08
svea,humanoid_walk,1.82,1.82,1.76,,1.79,1.96,1.66,1.92,1.44,1.87,1.33
svea,cheetah_run,255.78,230.51,234.87,,,,,,,,
svea,Door,,,,,,,,,,,
svea,Lift,,,,,,,,,,,
svea,TwoArmLift,,,,,,,,,,,
pieg,walker_walk,,,,,,,,,,,
pieg,pendulum_swingup,555.43,379.58,331.38,550.63,313.52,343.65,60.0,145.46,287.96,442.81,200.17
pieg,humanoid_walk,1.94,1.91,2.13,1.91,1.83,1.81,1.8,1.99,1.95,1.93,1.89
pieg,cheetah_run,397.69,316.41,216.48,379.39,322.01,263.04,214.96,312.31,319.28,459.77,293.88
pieg,Door,,,,,,,,,,,
pieg,Lift,,,,,,,,,,,
pieg,TwoArmLift,,,,,,,,,,,
