algorithm,task,cutmix,cutout,no_aug,overlay,cropping,window,rotation,flip_v,flip_h,convolution,mix
svea,walker_walk,85.7,56.2,,,47.79,51.39,68.36,56.85,72.75,,
svea,pendulum_swingup,3.4,2.51,3.89,,6.59,5.13,10.77,4.63,6.51,0.98,4.47
svea,humanoid_walk,1.71,1.67,1.72,,,1.61,1.56,1.69,1.51,1.34,1.48
svea,cheetah_run,28.78,34.64,25.74,,25.52,21.18,28.42,17.2,27.31,26.09,23.64
svea,Door,,,,,,,,,,,
svea,Lift,,,,,,,,,,,
svea,TwoArmLift,,,,,,,,,,,
pieg,walker_walk,,,,,,,,,,,
pieg,pendulum_swingup,3.03,1.32,0.88,,8.54,2.38,8.01,6.46,7.46,1.4,1.94
pieg,humanoid_walk,1.5,1.38,1.66,,1.49,1.43,1.58,1.52,1.48,1.42,1.64
pieg,cheetah_run,58.98,54.57,39.93,,33.21,38.46,28.91,39.24,54.69,60.23,125.65
pieg,Door,3.09,14.76,0.99,,,,,,,,
pieg,Lift,,,,,,,,,,,
pieg,TwoArmLift,,,,,,,,,,,
