algorithm,task,cutmix,cutout,no_aug,overlay,cropping,window,rotation,flip_v,flip_h,convolution,mix
svea,walker_walk,636.15,614.11,,617.41,,689.65,605.31,629.06,598.58,,
svea,pendulum_swingup,1.13,1.26,1.27,3.54,,1.49,6.0,3.85,2.59,3.27,4.86
svea,humanoid_walk,1.81,1.97,1.98,,,1.76,1.9,1.99,1.68,1.42,1.5
svea,cheetah_run,147.61,108.79,151.89,,,134.9,158.99,158.37,130.41,179.02,161.58
svea,Door,,,,,,,,,,,
svea,Lift,,,,,,,,,,,
svea,TwoArmLift,,,,,,,,,,,
pieg,walker_walk,,,,,,,,,,,
pieg,pendulum_swingup,17.86,10.81,1.57,5.97,,27.92,4.68,10.04,8.15,6.99,3.34
pieg,humanoid_walk,1.56,1.72,1.97,1.62,,1.58,1.83,1.72,1.92,1.61,1.8
pieg,cheetah_run,218.68,229.95,172.67,189.49,,216.94,222.32,227.04,233.09,299.25,236.86
pieg,Door,468.56,439.03,452.66,456.24,,,,,,,
pieg,Lift,,,,,,,,,,,
pieg,TwoArmLift,,,,,,,,,,,
